doc_id,source_url,markdown_url,sentence_id,sentence,category,planned_test_ids
DOC001,https://docs.stripe.com/api/payment_intents,https://docs.stripe.com/api/payment_intents.md,REQ00001,Payment Intents A PaymentIntent guides you through the process of collecting a payment from your customer.,general,
DOC001,https://docs.stripe.com/api/payment_intents,https://docs.stripe.com/api/payment_intents.md,REQ00002,We recommend that you create exactly one PaymentIntent for each order or customer session in your system.,create,
DOC001,https://docs.stripe.com/api/payment_intents,https://docs.stripe.com/api/payment_intents.md,REQ00003,You can reference the PaymentIntent later to see the history of payment attempts for a particular session.,general,
DOC001,https://docs.stripe.com/api/payment_intents,https://docs.stripe.com/api/payment_intents.md,REQ00004,A PaymentIntent transitions through throughout its lifetime as it interfaces with Stripe.js to perform authentication flows and ultimately creates at most one successful charge.,create,
DOC002,https://docs.stripe.com/api/payment_intents/create,https://docs.stripe.com/api/payment_intents/create.md,REQ00005,Create a PaymentIntent Creates a PaymentIntent object.,create,
DOC002,https://docs.stripe.com/api/payment_intents/create,https://docs.stripe.com/api/payment_intents/create.md,REQ00006,"After the PaymentIntent is created, attach a payment method and to continue the payment.",create,
DOC002,https://docs.stripe.com/api/payment_intents/create,https://docs.stripe.com/api/payment_intents/create.md,REQ00007,"When you use during creation, its equivalent to creating and confirming the PaymentIntent in the same call.",create,
DOC002,https://docs.stripe.com/api/payment_intents/create,https://docs.stripe.com/api/payment_intents/create.md,REQ00008,You can use any parameters available in the when you supply .,create,
DOC002,https://docs.stripe.com/api/payment_intents/create,https://docs.stripe.com/api/payment_intents/create.md,REQ00019,Omit or set to to immediately return a 400 error when arithmetic validation fails.,create,
DOC002,https://docs.stripe.com/api/payment_intents/create,https://docs.stripe.com/api/payment_intents/create.md,REQ00078,The amount of the application fee collected will be capped at the total amount captured.,create,
DOC002,https://docs.stripe.com/api/payment_intents/create,https://docs.stripe.com/api/payment_intents/create.md,REQ00079,"For more information, see the PaymentIntents .",create,
DOC002,https://docs.stripe.com/api/payment_intents/create,https://docs.stripe.com/api/payment_intents/create.md,REQ00084,"To this PaymentIntent, you may be required to provide a to redirect customers back to your site after they authenticate or complete the payment.",create,
DOC002,https://docs.stripe.com/api/payment_intents/create,https://docs.stripe.com/api/payment_intents/create.md,REQ00085,Possible enum values: - (Default) This PaymentIntent will accept redirect-based payment methods.,create,
